Source,Target,Weight
G03F7,H01L21,92
G03F7,H05K3,34
H01L21,H05K3,22
C23F1,G03F1,15
C23F1,G03F7,15
C23F1,H05K3,11
G03F1,G03F7,35
G03F1,H05K3,10
H01L21,H01L29,45
G03F1,H01L21,44
C23F1,H01L21,23
G03C8,G03F7,29
C08J3,G03F7,8
C07C113,G03F7,6
G03F9,H01L21,16
B41N3,G03F7,195
C08F2,C08F290,11
C08F2,C08F299,11
C08F2,G03F7,33
C08F290,C08F299,13
C08F290,G03F7,13
C08F299,G03F7,14
C08F2,G03C1,26
C08F2,G03C5,5
G03C1,G03C5,54
G03C1,G03F1,10
G03C1,G03F3,5
G03C1,G03F7,261
G03C1,H01L21,24
G03C5,G03F1,15
G03C5,G03F3,7
G03C5,G03F5,10
G03C5,G03F7,155
G03C5,H01L21,23
G03F1,G03F5,6
G03F3,G03F5,6
G03F3,G03F7,8
G03F5,G03F7,5
C23F4,H01L21,7
H01J37,H01L21,35
H01L21,H01L27,18
H01L27,H01L29,12
B41N1,G03C1,36
B41N1,G03F7,119
C08F290,G03C1,8
C08F299,G03C1,9
C08G59,G03C1,8
C08G59,G03F7,10
H01L,H01L21,8
B41C1,B41N3,13
B41C1,G03F7,43
B41N1,B41N3,39
B41N3,C25D11,6
B41N3,C25F3,8
B41N3,H05K3,5
B41N1,G03G13,15
G03F7,G03G13,25
H01C17,H05K3,5
H05K1,H05K3,8
B41N3,G03C1,40
G03F7,H01J37,12
G03B42,G03C5,6
G03B42,G03F7,8
G03B42,H01J35,6
G03B42,H01L21,9
G03B42,H05G1,9
G03C5,H01J35,6
G03C5,H05G1,7
G03F7,H01J35,9
G03F7,H05G1,9
H01J35,H01L21,10
H01J35,H05G1,7
H01L21,H05G1,11
H01L21,H10B12,5
H01L29,H10B12,5
G02F1,G03C1,6
G02F1,G03F7,7
B41N,G03F7,5
G03F7,G03F9,10
G02B5,G03F1,6
G03F,G03F7,10
B41C1,B41N1,19
G03F1,G03F9,6
G03F1,G21K1,8
G21K1,H01L21,10
B41M1,B41N1,6
B41M1,G03F7,21
B44C1,G03F7,7
B44C1,H01L21,5
C03C15,H01L21,5
G03C5,H05K3,9
C08F8,G03C1,15
C08F8,G03F7,22
H01L21,H01L23,32
G03F7,H01L23,5
C08G8,G03C1,8
C08G8,G03F7,9
G01Q20,G01Q30,6
G01Q20,H01J37,6
G01Q20,H01L21,6
G01Q30,H01J37,6
G01Q30,H01L21,6
C08L79,G03C1,6
C08L79,G03F7,6
C08K5,C08L61,6
C08K5,G03C1,11
C08K5,G03F7,12
C08L61,G03C1,8
C08L61,G03F7,10
C25D11,G03F7,7
B41F7,G03F7,9
G03D3,G03F7,12
B41C1,G03G13,12
G03G13,H05K3,5
G03F7,G21K1,5
G03F7,G21K5,5
C07C113,G03C1,5
C08L33,G03C1,7
C08L33,G03F7,9
H01L21,H01L33,5
G03C1,H05K3,10
G03D5,G03F7,17
G03C5,G03C8,7
G03F7,G03G5,7
G03G13,G03G5,7
B41N1,G03C5,14
B41N3,G03C5,24
B05D3,G03F7,7
B41M5,G03F7,23
G03B27,G03F7,12
C23C15,H01L21,5
G01N21,G03F7,5
G01N21,H01L21,5
H01L23,H01L29,6
C08G18,G03C1,7
C08G18,G03F7,9
B05D3,G03F1,6
B05D3,H01L21,7
G03F1,H05G1,5
G03B27,H01L21,5
G03C,G03F7,5
G03B27,G03F9,5
C08J3,G03C1,7
C09K3,G03F7,7
B41M5,B41N1,10
B01J17,H01L21,12
B01J17,H01L29,5
C09B23,G03C1,5
C09B23,G03C5,5
C09B23,G03F7,5
G01N21,G03F1,5
C08F2,C08G63,8
C08F2,C08K5,6
C08F2,C08L67,6
C08G63,C08K5,5
C08G63,C08L67,6
C08G63,G03C1,10
C08G63,G03F7,13
C08K5,C08L67,5
C08L67,G03C1,6
C08L67,G03F7,8
C08F20,G03F7,10
B32B15,B41N1,6
B32B15,G03F7,6
G03F1,G21F5,5
C08F20,G03C1,7
B41M5,B41N3,7
B41M1,G03F5,5
A61K27,H01L21,5
B44D1,G03F7,5
B41M1,B41M3,6
B41M3,G03F7,5
B41M5,D06P5,5
D06P5,G03F7,5
B41C1,B41M5,9
G03D13,G03F7,7
G03G13,G03G9,7
G03D3,G03D5,5
C23F1,H01L23,5
G03C1,G03G17,5
G03C5,G03G17,5
G03F7,G03G17,5
H01L21,H01L7,10
H01L29,H01L7,5
C23C14,H01L21,5
