Source,Target,Weight
G03F7,H01J37,705
G03F7,H01L21,8617
H01J37,H01L21,881
G03F1,G03F7,1921
G03F1,G03F9,936
G03F7,G03F9,1693
G02B1,G03F7,263
G01N21,G03F7,203
G01N21,H01L21,184
G01B11,G01N21,85
G01B11,G03F7,482
G01B11,H01L21,452
G02B6,G03F7,89
G02B6,H01L21,69
G01M11,G03F7,116
G02B3,G02B5,47
G02B3,G03F7,135
G02B5,G03F7,681
B08B7,G03F1,19
B08B7,G03F7,58
G01L9,H01L21,12
G02B26,G03F7,182
C08L83,C09D183,21
C08L83,G03F7,37
C09D183,G03F7,42
G03C1,G03F7,713
G03F7,H05G2,388
G02B5,G21K1,169
G02B5,H01L21,503
G03F7,G21K1,517
G21K1,H01L21,415
B41N1,G03F7,1489
H01L25,H01L29,16
G03F7,H01L23,192
G03F9,H01L23,114
B81B7,B81C1,11
B81B7,H01L21,31
B81B7,H01L23,13
B81C1,H01L21,117
B81C1,H01L23,11
H01L21,H01L23,746
H01L21,H03H3,11
H01L21,H10B12,342
H01L21,H10B69,129
H10B12,H10B69,19
G03F7,H01S3,183
C07C41,C08F2,11
C07C41,G03F7,14
C08F2,G03F7,277
B05C11,G03B27,14
B05C11,G03F7,28
B05C11,H01L21,28
G03B27,G03F7,1375
G03B27,H01L21,920
C08K3,G03F7,30
C09D183,H01L21,24
G03F7,G05B13,13
G05B13,H01L21,15
B29C33,G03F7,36
B29D11,G03F7,23
G03F7,G06F17,248
G06F17,H01L23,11
H01L23,H01L25,41
G02B27,G03F1,39
G02B,G03B27,32
G02B,G03F7,34
G03F1,H01L21,2347
G02B1,G02B5,113
G02B1,H01S3,10
G02B5,H01S3,42
G01B9,G01M11,14
G01B9,G03F7,197
G01B9,H01L21,136
G01M11,H01L21,92
G02B7,G03F7,227
G02B7,H01L21,170
C08F216,C08F220,22
C08F216,G03F7,37
C08F216,H01L21,28
C08F220,C08F226,10
C08F220,G03F7,213
C08F220,H01L21,110
C08F226,G03F7,31
B41C1,B41N1,881
B41C1,B41N3,286
B41C1,G03F7,1892
B41N1,B41N3,378
B41N3,G03F7,828
B01J19,G01N33,11
B01J19,G01N37,13
B01J19,G03F7,40
B81B1,B81C1,22
B81B1,G03F7,26
B81C1,B82B3,15
B81C1,G03F7,124
B82B3,G03F7,50
G01N33,G03F7,22
G01N37,G03F7,15
B08B3,G03F7,42
G03F1,G06F17,329
A61N5,G03F7,83
A61N5,H05G2,17
B82Y10,G03F7,35
C08F212,G03F7,61
G02B,H01L21,11
G03F07,G03F7,420
G03F7,H01J65,19
H01J65,H05G2,18
G01J1,G01J4,11
G01J1,G02B5,11
G01J1,H01L27,10
G02B5,H01L27,19
G02B5,H01L31,11
H01L27,H01L31,84
C08L83,H01L21,28
G03F7,H01L31,23
B82Y10,H01L21,18
G11C13,H01L21,10
H01L21,H01L27,878
B41C1,B41M5,651
B41C1,G03C1,145
B41M5,G03C1,68
B41M5,G03F7,684
C23C16,G03F7,43
C23C16,H01L21,78
G03B27,G03F,76
G03F,G03F7,162
G03F,H01L21,88
H01L21,H01S3,158
G03F1,H01J37,188
G02B17,G03F7,299
G02B17,H01L21,234
G03F1,G21K1,95
B05D3,H01L21,23
B32B15,H01L21,12
B81C1,H10N30,14
B82B3,H01L21,55
C30B25,H01L21,26
H01L21,H10N30,51
H01L21,H10N60,21
B82Y10,B82Y40,27
B82Y40,G03F7,21
G03B27,G03F9,283
C08F20,G03F7,149
C08F20,H01L21,62
G01B9,G01J9,13
G01B9,G01N21,22
G01J9,G03F7,27
G01J9,H01L21,22
G02B27,G02B6,18
G02B27,G02F1,31
G02B27,H01L21,240
G02B6,G02F1,23
G02B6,H01L27,34
G02F1,H01L21,364
G02F1,H01L27,142
G06G7,H01L21,12
B41C1,H01L21,71
B41M5,B41N1,356
B41M5,H01L21,57
B41N1,H01L21,45
B41C1,C11D11,10
C11D11,G03F7,31
F16F15,G03F7,83
B82Y40,H01L21,22
G02B21,G03B27,23
G02B21,G03F,19
G02B21,G03F7,71
G02B21,H01L21,50
G02B17,G02B27,75
G02B17,G02B5,74
G02B27,G02B5,104
G02B27,G03F7,333
C03B19,C03C3,69
C03B19,G03F7,72
C03C3,G03F7,86
F16F15,G05D19,13
G03F7,G05D19,17
C08G77,G03F7,40
H01L31,H01L33,20
C03C3,C03C4,55
C03C4,G03F7,48
G01M11,G03F1,29
G02B21,G03F1,24
H01L21,H05G2,296
G03F,G03F1,32
