Source,Target,Weight
G03F7,H05H1,44
G03F7,G03F9,1279
C07C69,G03F7,53
C07C69,H01L21,16
C08K5,C08L101,13
C08K5,G03F7,75
C08K5,H01L21,52
C08L101,G03F7,25
C08L101,H01L21,8
G03F7,H01L21,4894
G02B26,G03F7,283
G03F1,H01L21,1117
G01N21,G03F1,248
G03F1,G03F7,2300
G01B11,G03F7,490
G01B11,H01L21,168
C07C67,C07C69,9
C07C67,G03F7,11
G03F1,G06F30,125
B41N1,G03F7,406
B81B7,G03F7,7
G03F7,H05G2,803
H01L21,H05G2,94
H01L21,H05H1,10
H05G2,H05H1,38
G01B11,G03F9,236
B82Y10,G02B17,14
B82Y10,G02B27,23
B82Y10,G02B5,61
B82Y10,G02B7,12
B82Y10,G03F7,286
B82Y10,G21K1,61
G02B17,G02B27,43
G02B17,G02B5,77
G02B17,G02B7,33
G02B17,G03F7,239
G02B17,G21K1,50
G02B27,G02B5,155
G02B27,G02B7,51
G02B27,G03F7,418
G02B27,G21K1,66
G02B5,G02B7,93
G02B5,G03F7,911
G02B5,G21K1,212
G02B7,G03F7,366
G02B7,G21K1,26
G03F7,G21K1,406
B29C33,B82Y30,7
B29C33,B82Y40,14
B29C33,G03F7,89
B82Y30,B82Y40,52
B82Y30,G03F7,55
B82Y40,G03F7,313
C08F112,G03F7,9
C08F2,G03F7,104
B41C1,B41M1,55
B41C1,B41N1,182
B41C1,G03F7,548
B41M1,B41N1,70
B41M1,G03F7,79
G03F1,G06N20,21
G03F1,G06N3,16
G03F7,G06F30,167
G03F7,G06N20,50
G03F7,G06N3,39
G06F30,G06N20,19
G06F30,G06N3,13
G06N20,G06N3,9
G03F7,G05B13,27
G01N21,G03F7,494
G02B6,G03F7,69
G03F9,G06F30,12
G03F7,G06K19,8
G03F7,H01L23,131
G06K19,H01L23,9
G02B1,G02B5,91
G02B1,G03F7,141
G02B1,G21K1,34
G03F9,H01L21,395
G03F9,H01L23,63
H01L21,H01L23,588
H01L21,H10D30,10
H01L21,H10D64,10
G03B27,G03F1,106
G03B27,G03F7,1093
B01L3,H05K3,7
G03F1,G21K1,83
G03F7,G05B11,14
G03F9,G05B11,7
G05B11,H01L21,8
G05B13,H01L21,13
G02B5,H05G2,77
G21K1,H05G2,109
H01L23,H10B12,26
C23C14,G03F7,58
G02B3,G03F1,18
G02B5,H01L21,107
G01N21,G06T7,36
G03F7,G06T7,93
G03F7,H01J3,12
H01L21,H10B69,49
G03F7,H01S3,241
H01L21,H10D62,7
G02B3,G03F7,74
C01B32,G03F1,41
B81C1,G03F7,88
G01B9,G02B27,7
G01B9,G03F7,110
B08B3,G03F7,35
B08B3,H01L21,28
C11D3,C11D7,7
C11D3,G03F7,22
C11D7,G03F7,27
G01N21,G03F9,91
G01N21,H01L21,161
G01N21,H01L23,12
G03F7,G06V10,13
G03F7,H04N23,7
G03F9,G06T7,24
G03F9,G06V10,8
G06T7,G06V10,9
G06T7,H01L21,29
C23C16,H01J37,14
C23C16,H01L21,68
H01J37,H01L21,256
G02B19,G03F7,163
G03F7,G06F17,237
G06F17,G06F30,8
C23C14,G03F1,95
G02F1,G03F7,144
C03C15,G03F1,17
C03C23,G03F1,18
G02B13,G03F7,115
C02F1,G03F7,16
B41C1,B41N3,80
B41N3,G03F7,141
C03C3,G02B5,23
C03C3,G03F7,39
G01B11,G03F1,74
G01R31,H01L21,25
H01L21,H05K1,15
H01L23,H05K1,17
B82Y10,B82Y40,265
B82Y10,H01L21,78
B82Y40,H01L21,126
G03F1,G03F9,135
C08F20,G03F7,137
G01J3,G02B5,9
G01J3,G03F7,35
G01M11,G03F1,43
G03F7,H02P25,18
C08F30,G03F7,10
G03F7,H02K41,95
H01L21,H10B41,55
H01L21,H10B43,54
H10B41,H10B43,60
C23C16,G03F7,81
C11D7,H01L21,30
B01D67,G03F7,8
G03F1,H01J37,118
G03F7,H01J37,380
B01L3,G03F7,9
B29C33,B29C39,7
B29C33,B29K105,7
B29C39,G03F7,12
B29K105,G03F7,11
C08F220,G03F7,313
C08G59,G03F7,67
C08G59,H01L21,42
C08L83,G03F7,47
F16F15,G03F7,54
C08G77,C08L83,21
