ID,Label,Contribution
H05K3,H05K3,52
G03F7,G03F7,746
H01L21,H01L21,251
C23F1,C23F1,33
G03F1,G03F1,80
H01L29,H01L29,47
G03C8,G03C8,29
C08J3,C08J3,8
C07C113,C07C113,6
G03F9,G03F9,29
B41N3,B41N3,203
C08F290,C08F290,13
C08F299,C08F299,14
C08F2,C08F2,34
G03C1,G03C1,263
G03F5,G03F5,17
G03F3,G03F3,18
G03C5,G03C5,168
C23F4,C23F4,7
H01J37,H01J37,38
H01L27,H01L27,19
B41N1,B41N1,121
C08G59,C08G59,10
G03F,G03F,13
H01L,H01L,9
B41C1,B41C1,44
C25F3,C25F3,8
C25D11,C25D11,9
G03G13,G03G13,28
H05K1,H05K1,8
H01C17,H01C17,5
G03B42,G03B42,9
H05G1,H05G1,12
H01J35,H01J35,11
H10B12,H10B12,5
G02F1,G02F1,8
B41N,B41N,5
G02B5,G02B5,8
H01L23,H01L23,37
G21K1,G21K1,12
B41M1,B41M1,26
C03C15,C03C15,5
B44C1,B44C1,9
C08F8,C08F8,22
C08G8,C08G8,9
G01Q20,G01Q20,6
G01Q30,G01Q30,6
C08L79,C08L79,6
C08K5,C08K5,12
C08L61,C08L61,10
B41F7,B41F7,9
G03D3,G03D3,12
G21K5,G21K5,6
C08L33,C08L33,9
H01L33,H01L33,5
G03D5,G03D5,17
G03G5,G03G5,9
B05D3,B05D3,14
G03B27,G03B27,17
B41M5,B41M5,25
C23C15,C23C15,6
G01N21,G01N21,7
C08G18,C08G18,9
G03C,G03C,5
C09K3,C09K3,7
B01J17,B01J17,13
C09B23,C09B23,5
C08G63,C08G63,13
C08L67,C08L67,8
C08F20,C08F20,10
B32B15,B32B15,6
G21F5,G21F5,5
A61K27,A61K27,5
B44D1,B44D1,8
D06P5,D06P5,5
B41M3,B41M3,6
G03D13,G03D13,7
C23C14,C23C14,7
G03G9,G03G9,7
G03G17,G03G17,6
H01L7,H01L7,12
