ID,Label,Contribution
H01J37,H01J37,1063
G03F7,G03F7,16003
H01L21,H01L21,12965
G03F9,G03F9,2519
G03F1,G03F1,3487
G02B1,G02B1,300
G01N21,G01N21,280
G01B11,G01B11,602
G02B6,G02B6,196
G01M11,G01M11,119
G02B5,G02B5,790
G02B3,G02B3,155
B08B7,B08B7,63
G01L9,G01L9,22
G02B26,G02B26,195
G03C1,G03C1,731
C08L83,C08L83,47
C09D183,C09D183,46
H05G2,H05G2,526
G21K1,G21K1,589
B41N1,B41N1,1498
H01L29,H01L29,1131
H01L33,H01L33,93
H01L25,H01L25,68
H01L23,H01L23,896
H03H3,H03H3,22
B81B7,B81B7,41
B81C1,B81C1,195
H10B69,H10B69,143
H10B12,H10B12,396
H01S3,H01S3,223
C08F2,C08F2,280
C07C41,C07C41,14
B05C11,B05C11,32
G03B27,G03B27,1497
C08K3,C08K3,37
G05B13,G05B13,18
B29D11,B29D11,26
B29C33,B29C33,50
G06F17,G06F17,459
G01J9,G01J9,34
G02B27,G02B27,372
G02B,G02B,36
G01B9,G01B9,231
G02B7,G02B7,247
C08F226,C08F226,32
C08F216,C08F216,39
C08F220,C08F220,214
B41N3,B41N3,845
B41C1,B41C1,1921
G01N37,G01N37,19
B01J19,B01J19,44
G01N33,G01N33,27
B82B3,B82B3,92
B81B1,B81B1,34
B08B3,B08B3,72
B82Y10,B82Y10,46
A61N5,A61N5,118
C08F212,C08F212,61
G03F07,G03F07,482
H01J65,H01J65,23
G01J4,G01J4,19
H01L31,H01L31,196
H01L27,H01L27,1123
G01J1,G01J1,144
G11C13,G11C13,19
B41M5,B41M5,694
G03F,G03F,182
C23C16,C23C16,94
G02B17,G02B17,306
H10N60,H10N60,52
C30B25,C30B25,26
B32B15,B32B15,31
H10N30,H10N30,68
B05D3,B05D3,58
B82Y40,B82Y40,39
C08F20,C08F20,152
G02F1,G02F1,521
G06G7,G06G7,17
C11D11,C11D11,48
F16F15,F16F15,88
G02B21,G02B21,91
C03C3,C03C3,112
C03B19,C03B19,82
G05D19,G05D19,18
C08G77,C08G77,48
C03C4,C03C4,55
G06K9,G06K9,106
C09D11,C09D11,68
C03B8,C03B8,52
C09D161,C09D161,33
B81C99,B81C99,88
B29C35,B29C35,38
B29C59,B29C59,88
H05H1,H05H1,219
G12B5,G12B5,55
B05D1,B05D1,61
B23Q1,B23Q1,64
C08G18,C08G18,50
C03C17,C03C17,53
C08F290,C08F290,87
C08K5,C08K5,187
C08F299,C08F299,72
G03H1,G03H1,97
C08G8,C08G8,95
G06F19,G06F19,122
C11D3,C11D3,41
C11D1,C11D1,38
G03C5,G03C5,966
C09D4,C09D4,39
B08B5,B08B5,15
C08L85,C08L85,10
C08G79,C08G79,12
H10B99,H10B99,61
C23F4,C23F4,46
G21K5,G21K5,787
B81B3,B81B3,63
B81C3,B81C3,15
B29C37,B29C37,22
G11B5,G11B5,73
B29C43,B29C43,21
G01J3,G01J3,45
C08F265,C08F265,14
C08F4,C08F4,39
H05K1,H05K1,194
H05K3,H05K3,535
G02B19,G02B19,92
H01L,H01L,46
C03B20,C03B20,70
G01D5,G01D5,23
C08G59,C08G59,79
C23C14,C23C14,146
H02N13,H02N13,45
H10N99,H10N99,26
G02B13,G02B13,177
G06K19,G06K19,24
B01D71,B01D71,17
B01D67,B01D67,12
G05D3,G05D3,41
G03D3,G03D3,41
H03H9,H03H9,18
C08F12,C08F12,50
C07D333,C07D333,17
G03F09,G03F09,68
C09B23,C09B23,32
C09B69,C09B69,32
C08G61,C08G61,16
C07C271,C07C271,10
H01L45,H01L45,43
C07C309,C07C309,38
C07C43,C07C43,24
H04N25,H04N25,12
C07F7,C07F7,28
G06F7,G06F7,17
B32B27,B32B27,43
B32B7,B32B7,29
C40B40,C40B40,17
C40B60,C40B60,21
C08J3,C08J3,33
C09D5,C09D5,67
C09D7,C09D7,34
C08F8,C08F8,144
C08F232,C08F232,97
H01J35,H01J35,111
C08F26,C08F26,26
G05B19,G05B19,63
C08G63,C08G63,22
G06F11,G06F11,14
G06F9,G06F9,29
G03G13,G03G13,77
G01R31,G01R31,84
G01R1,G01R1,73
G02B9,G02B9,23
C07D307,C07D307,15
C08L101,C08L101,95
C08J5,C08J5,15
H10K99,H10K99,39
A61K9,A61K9,12
C08L71,C08L71,14
C08G73,C08G73,41
H10B10,H10B10,57
G06T7,G06T7,36
C03C15,C03C15,88
C03C23,C03C23,33
C08L63,C08L63,35
B29C67,B29C67,32
C23F1,C23F1,176
C08G65,C08G65,12
H02K41,H02K41,108
C07C381,C07C381,22
C08J7,C08J7,31
B44C1,B44C1,125
C08F18,C08F18,11
C08F222,C08F222,85
G09F9,G09F9,81
H01J61,H01J61,24
H05B33,H05B33,68
C09B67,C09B67,18
C09B45,C09B45,14
G01N23,G01N23,80
B24B37,B24B37,13
C09K3,C09K3,43
G01B21,G01B21,93
H04N5,H04N5,29
B01D57,B01D57,10
C08F283,C08F283,33
B41M1,B41M1,116
C25D5,C25D5,31
G01N27,G01N27,43
G21G5,G21G5,67
G11B7,G11B7,67
C09D201,C09D201,26
H01F41,H01F41,60
H01F17,H01F17,25
C11D7,C11D7,43
G01Q60,G01Q60,101
G01Q80,G01Q80,44
H01L51,H01L51,116
G21C11,G21C11,13
H01J1,H01J1,95
C07C323,C07C323,13
H02N2,H02N2,17
H10B20,H10B20,76
C08L25,C08L25,36
G09G3,G09G3,18
H02K7,H02K7,11
G01T1,G01T1,45
B41J2,B41J2,96
B23Q11,B23Q11,34
B05D7,B05D7,14
C09D133,C09D133,40
C08L33,C08L33,82
B41M7,B41M7,25
F21V9,F21V9,16
H01J49,H01J49,13
G11C11,G11C11,78
F28D15,F28D15,14
B32B17,B32B17,16
B32B9,B32B9,46
B41F7,B41F7,54
C23C18,C23C18,40
C25D11,C25D11,84
C08L61,C08L61,89
C07C69,C07C69,51
H05B3,H05B3,18
C07F9,C07F9,10
B05D5,B05D5,33
B65D85,B65D85,30
H04N1,H04N1,75
H01S5,H01S5,106
C08L67,C08L67,18
C08L45,C08L45,35
G11C16,G11C16,23
C09D125,C09D125,21
B01D69,B01D69,11
B01D39,B01D39,11
G01N1,G01N1,21
B41J3,B41J3,16
C04B35,C04B35,23
B01D61,B01D61,19
C02F1,C02F1,42
B41M3,B41M3,17
C25D7,C25D7,18
G03F5,G03F5,59
B05C13,B05C13,11
H01J9,H01J9,120
G05B11,G05B11,15
H10N80,H10N80,45
G01B15,G01B15,51
G03B21,G03B21,20
C08G75,C08G75,10
C08F30,C08F30,27
C08F24,C08F24,12
B65G49,B65G49,67
C03B32,C03B32,22
C03C10,C03C10,14
C07D493,C07D493,20
H01J3,H01J3,43
C08F32,C08F32,42
H01J11,H01J11,14
C30B11,C30B11,30
C30B29,C30B29,68
G21K7,G21K7,32
C01B31,C01B31,25
B82B1,B82B1,55
G01Q70,G01Q70,54
H05K7,H05K7,14
C30B33,C30B33,20
B29C64,B29C64,10
C25D1,C25D1,25
G03D5,G03D5,51
H02P25,H02P25,11
G01Q30,G01Q30,43
G01Q10,G01Q10,33
G21K3,G21K3,33
B32B3,B32B3,20
H05G1,H05G1,57
G03F01,G03F01,35
C07D251,C07D251,11
B41K1,B41K1,24
F16C32,F16C32,27
B44F1,B44F1,33
B23K26,B23K26,50
H04B10,H04B10,14
C07B61,C07B61,17
B41C,B41C,29
H01J31,H01J31,24
C07D319,C07D319,10
B41F1,B41F1,18
C09D163,C09D163,16
F21V7,F21V7,12
H01J27,H01J27,21
C03C25,C03C25,32
H01B13,H01B13,26
C08F234,C08F234,24
G01B7,G01B7,53
C08L35,C08L35,35
B23Q17,B23Q17,10
C22C21,C22C21,35
H01G4,H01G4,18
C22F1,C22F1,16
C25F3,C25F3,63
G02B11,G02B11,16
B25J13,B25J13,11
C12Q1,C12Q1,14
H01L49,H01L49,20
C08L,C08L,12
G03C9,G03C9,31
H01R12,H01R12,18
G03C7,G03C7,35
C08F36,C08F36,14
C08F22,C08F22,29
G03F3,G03F3,49
H01L41,H01L41,42
G21G4,G21G4,37
G03D13,G03D13,13
C23C28,C23C28,23
C08F16,C08F16,43
G05B15,G05B15,12
H01L39,H01L39,42
C01F11,C01F11,10
G03G15,G03G15,20
A47G1,A47G1,24
G03C3,G03C3,23
H02K9,H02K9,15
H01J17,H01J17,26
C23G1,C23G1,21
G01Q90,G01Q90,18
B05B1,B05B1,10
H02K33,H02K33,10
G06F15,G06F15,33
C08F116,C08F116,12
G02B05,G02B05,11
G01F9,G01F9,37
C08L29,C08L29,22
G03C8,G03C8,355
G01R3,G01R3,41
H01R13,H01R13,16
B65G1,B65G1,14
C08L75,C08L75,12
H02K3,H02K3,19
G01P15,G01P15,23
B41N6,B41N6,20
C09D179,C09D179,15
G06K15,G06K15,10
G03B7,G03B7,13
G03C,G03C,14
H01B1,H01B1,18
B65D81,B65D81,13
C08F230,C08F230,31
G06Q30,G06Q30,12
H01J29,H01J29,24
G03G5,G03G5,35
F16H21,F16H21,10
G06N3,G06N3,12
C09B29,C09B29,12
B41F35,B41F35,15
C09D9,C09D9,18
C11D17,C11D17,18
C23G5,C23G5,10
G03B42,G03B42,18
C04B41,C04B41,31
G01Q20,G01Q20,13
G01L1,G01L1,14
B23Q5,B23Q5,10
G03C11,G03C11,30
G11C19,G11C19,11
G03B41,G03B41,59
H01J5,H01J5,12
C08F10,C08F10,13
G03D9,G03D9,20
B41F13,B41F13,14
H10N15,H10N15,10
H05H13,H05H13,10
C01G1,C01G1,13
