ID,Label,Contribution
G03F7,G03F7,14171
H05H1,H05H1,57
G03F9,G03F9,1626
C08L101,C08L101,27
C08K5,C08K5,85
C07C69,C07C69,56
H01L21,H01L21,7839
G02B26,G02B26,295
G03F1,G03F1,3689
G01N21,G01N21,714
G01B11,G01B11,643
C07C67,C07C67,11
G11B5,G11B5,15
G06F30,G06F30,237
B41N1,B41N1,412
B81B7,B81B7,16
H05G2,H05G2,1028
B82Y10,B82Y10,362
G21K1,G21K1,442
G02B27,G02B27,480
G02B17,G02B17,256
G02B5,G02B5,1004
G02B7,G02B7,389
C08F112,C08F112,9
B82Y30,B82Y30,97
C08F2,C08F2,123
B82Y40,B82Y40,430
B29C33,B29C33,144
B41M1,B41M1,83
B41C1,B41C1,553
G06N3,G06N3,45
G06N20,G06N20,60
G05B13,G05B13,31
G02B6,G02B6,97
H01L23,H01L23,756
G06K19,G06K19,18
G02B1,G02B1,170
H10D64,H10D64,12
H10D30,H10D30,10
G03B27,G03B27,1142
H05K3,H05K3,119
B01L3,B01L3,17
G05B11,G05B11,18
H10B12,H10B12,103
C23C14,C23C14,166
G02B3,G02B3,98
G06T7,G06T7,155
H01J3,H01J3,14
H10B69,H10B69,69
H01S3,H01S3,316
H10D62,H10D62,8
C01B32,C01B32,52
C30B29,C30B29,15
B81C1,B81C1,151
G01B9,G01B9,131
B08B3,B08B3,54
C11D3,C11D3,28
C11D7,C11D7,39
H04N23,H04N23,14
G06V10,G06V10,21
H01J37,H01J37,540
C23C16,C23C16,130
G02B19,G02B19,177
G06F17,G06F17,461
G02F1,G02F1,246
C03C15,C03C15,33
C03C23,C03C23,19
G02B13,G02B13,120
C02F1,C02F1,18
B41N3,B41N3,141
C03C3,C03C3,105
C03C19,C03C19,12
G01R31,G01R31,30
H05K1,H05K1,61
C08F20,C08F20,144
G01J3,G01J3,51
G01M11,G01M11,139
H02P25,H02P25,18
C08F30,C08F30,11
H02K41,H02K41,100
H10B41,H10B41,87
H10B43,H10B43,81
B01D67,B01D67,10
B29K105,B29K105,12
B29C39,B29C39,14
C08F220,C08F220,325
C08G59,C08G59,69
C08L83,C08L83,56
F16F15,F16F15,61
C08G77,C08G77,124
C08F212,C08F212,132
C08F4,C08F4,14
H02N2,H02N2,18
G09F9,G09F9,20
H01L25,H01L25,120
G11C8,G11C8,13
H10B10,H10B10,96
H10B20,H10B20,17
H10N60,H10N60,22
C11D11,C11D11,38
B29C64,B29C64,44
B23Q3,B23Q3,20
B23K26,B23K26,60
B22F7,B22F7,14
B05D5,B05D5,31
B05D3,B05D3,66
B33Y10,B33Y10,38
B33Y80,B33Y80,18
G02B21,G02B21,92
G06F119,G06F119,62
G01J9,G01J9,37
B41J2,B41J2,23
G01D5,G01D5,82
G01J4,G01J4,12
G06T5,G06T5,10
H10N30,H10N30,34
C09D183,C09D183,68
C07F7,C07F7,70
G01N29,G01N29,16
G01Q60,G01Q60,20
G01Q70,G01Q70,16
B32B9,B32B9,10
C07C381,C07C381,108
C07D327,C07D327,18
C07C311,C07C311,20
C07D333,C07D333,30
B82Y20,B82Y20,20
C09K3,C09K3,47
H10K50,H10K50,9
C08F232,C08F232,24
B29C59,B29C59,373
H01S5,H01S5,29
C08F265,C08F265,10
C09D4,C09D4,19
C07F5,C07F5,8
G01N33,G01N33,30
H05K7,H05K7,14
B05D1,B05D1,34
B08B7,B08B7,57
B08B6,B08B6,12
H01L29,H01L29,801
B05B1,B05B1,12
G01N1,G01N1,10
G21K5,G21K5,112
H01L27,H01L27,661
H03K19,H03K19,9
H02P6,H02P6,10
F16K31,F16K31,9
G06F16,G06F16,11
G05D23,G05D23,16
G01B21,G01B21,27
C08G73,C08G73,33
B33Y30,B33Y30,23
C03C17,C03C17,41
G01J1,G01J1,112
B29C37,B29C37,8
B29K83,B29K83,10
C25D1,C25D1,20
G01Q80,G01Q80,13
C09K11,C09K11,21
C07C321,C07C321,7
C09B67,C09B67,29
C09B57,C09B57,7
F16F1,F16F1,7
C08K3,C08K3,16
B81C99,B81C99,21
C08F8,C08F8,16
C07C309,C07C309,94
C07F9,C07F9,20
G01N23,G01N23,65
A61B5,A61B5,8
C09D201,C09D201,30
C09D7,C09D7,43
C09D5,C09D5,24
C09K23,C09K23,9
C08G61,C08G61,55
C08L65,C08L65,14
C09D163,C09D163,10
C09D125,C09D125,25
B08B1,B08B1,8
C25D5,C25D5,16
B01D71,B01D71,12
C07D209,C07D209,26
C09D179,C09D179,11
C08F228,C08F228,11
C07D307,C07D307,25
B08B9,B08B9,13
H02N13,H02N13,15
G21K7,G21K7,8
G06F111,G06F111,8
H05G1,H05G1,22
H02N15,H02N15,10
B25J15,B25J15,18
B25J11,B25J11,8
C08G79,C08G79,14
G06T1,G06T1,11
G05B19,G05B19,77
G06F13,G06F13,8
G03B9,G03B9,15
C23C18,C23C18,24
C25D7,C25D7,12
H01L31,H01L31,138
G06F3,G06F3,35
G01N27,G01N27,32
C07D221,C07D221,8
C09K13,C09K13,15
C08F299,C08F299,12
C09B11,C09B11,7
C09B23,C09B23,27
C11D1,C11D1,25
G11C11,G11C11,37
C08F222,C08F222,35
G01J11,G01J11,19
C08J3,C08J3,13
C08L33,C08L33,60
C07D303,C07D303,13
C07C43,C07C43,39
C07C51,C07C51,7
C07C39,C07C39,46
C07C271,C07C271,8
C07C41,C07C41,13
C07C37,C07C37,19
C08G65,C08G65,20
C07C317,C07C317,10
H02K3,H02K3,14
G01B15,G01B15,31
C08L63,C08L63,12
C07C323,C07C323,12
G05D3,G05D3,15
B25B11,B25B11,8
C09D11,C09D11,38
H01L33,H01L33,165
H01J61,H01J61,18
C08F22,C08F22,15
G06F7,G06F7,24
G01P15,G01P15,7
B29C35,B29C35,35
H10N97,H10N97,58
H10N10,H10N10,21
C07F11,C07F11,7
C09D133,C09D133,49
C23F1,C23F1,32
C08G14,C08G14,10
C03C25,C03C25,14
C07C49,C07C49,10
C08G8,C08G8,102
C08G83,C08G83,12
C08F12,C08F12,63
