No.,Topic Keywords,Patent Count
Topic1,"lithographic printing, lithographic, photosensitive, compound, hydrophilic, resin, making, surface, printing plates, coating",7243
Topic2,"semiconductor, metal, silicon, etching, electrode, structure, surface, circuit, photolithography, polysilicon",7242
Topic3,"alignment, pattern, measurement, mark, overlay, lithography, metrology, optical, detection, photoetching",7114
Topic4,"mask, material, semiconductor, film, patterns, photolithography, photomask, layout, optical, etch",5394
Topic5,"optical, projection, radiation beam, mirror, lithography, elements, source, object, sensor, imaging",5188
Topic6,"lithography, pattern, reflective mask, electron beam, surface, absorber, material, multilayer reflective, reflective film, ultraviolet",5163
Topic7,"plasma, laser, euv light, radiation source, ultraviolet, euv radiation, light source, target material, optical element, reflective",4118
Topic8,"support, object, table, positioning, body, actuator, movable, holding, measurement, magnetic",3297
Topic9,"composition, resist composition, compound, polymer, underlayer film, lithography, solvent, alkyl, carbon atoms, photoresist composition",3274
Topic10,"space, immersion lithography, immersion fluid, surface, pressure, liquid supply, optical, structure, outlet, work piece",2461
Topic11,"template, imprint lithography, nanoimprint, mold, imprinting, material, medium, structure, lithography template, polymerizable",1362
Topic12,"capacitor, polysilicon, electrode, memory cell, semiconductor, structure, silicon, transistor, dram, array",1193
Topic13,"frame, film, pellicle membrane, adhesive, lithography, surface, ultraviolet, graphene, carbon nanotube, assembly",964
Topic14,"antireflective coating, composition, resist film, polymer, antireflection film, coating composition, organic solvent, film material, coatings, semiconductor",930
Topic15,"glass, silica, quartz, lithography, synthetic, optical component, thermal expansion, liquid medium, euv lithography, refractive",448
Topic16,"cover plate, table, main feature, tank, lithographic, surface, pattern, mask blank, reflectors, field produced",255
Topic17,"wafer table, assembly surface, surface wafer, assembly, lithography, inplane, component substantially, thermal, surface component, semiconductor chips",252
