ID,Time,IPC∑÷¿‡
PAT001,2021,"G03F7/20, H05H1/24"
PAT002,2020,"G03F7/00, G03F9/00"
PAT003,2020,G03F7/20
PAT004,2021,"G03F1/22, G03F1/74, G03F1/86"
PAT005,2021,"C07C69/716, C08K5/10, C08L101/00, G03F7/004, G03F7/038, G03F7/20, H01L21/027"
PAT006,2021,"G03F7/20, G02B26/12"
PAT007,2021,"H01L21/027, G03F1/66"
PAT008,2022,"G03F1/74, G01N21/62, G03F1/78, G03F1/86"
PAT009,2022,"G03F7/20, G03F1/84, H01L21/683"
PAT010,2022,"G03F7/20, H01L21/67"
PAT011,2022,"H01L21/683, G03F7/20"
PAT012,2023,"G01B11/02, G03F7/20, H01L21/027, H01L21/67"
PAT013,2023,"H01L21/027, G03F1/84, G03F7/20"
PAT014,2019,"H01L21/683, G03F7/20"
PAT015,2020,"G03F7/004, G03F7/26, G03F7/38"
PAT016,2023,"G03F7/004, G03F7/20"
PAT017,2022,"C07C67/08, C07C67/54, C07C69/675, G03F7/16"
PAT018,2022,"G03F1/32, G11B5/31"
PAT019,2022,"G03F1/36, G03F1/70, G06F30/27, G06F30/398"
PAT020,2023,"G03F7/12, B41N1/24, G03F7/00"
PAT021,2022,"G03F7/16, G03F7/00, G03F7/30, G03F7/38, G03F7/40"
PAT022,2022,G03F7/00
PAT023,2022,G03F7/00
PAT024,2020,H05G2/00
PAT025,2022,"G03F7/20, G02B26/08, B81B3/00, B81B7/04, B81B7/02"
PAT026,2020,G03F7/20
PAT027,2021,"G03F7/20, H01L21/027, H05G2/00, H05H1/24"
PAT028,2021,"G01B11/00, G03F9/00"
PAT029,2011,"G03F7/20, B82Y10/00, G02B5/08, G02B7/18, G02B17/06, G02B27/00, G21K1/06"
PAT030,2018,"C08F2/38, B29C33/42, B29C33/62, B82Y30/00, B82Y40/00, C08F112/08, G03F7/00"
PAT031,2019,"B41C1/10, B41M1/06, B41N1/14, G03F7/00, G03F7/033, G03F7/038, G03F7/11"
